period,posts,avg_sentiment,positive_rate,negative_rate
2016-03-05,9,1.0,1.0,0.0
2016-03-06,6,0.8333333333333334,0.8333333333333334,0.0
2016-03-07,17,0.8235294117647058,0.8823529411764706,0.058823529411764705
2016-03-08,19,0.6842105263157895,0.7894736842105263,0.10526315789473684
2016-03-09,11,0.9090909090909091,0.9090909090909091,0.0
2016-03-10,15,0.8666666666666667,0.9333333333333333,0.06666666666666667
2016-03-11,14,0.8571428571428571,0.8571428571428571,0.0
2016-03-12,8,0.75,0.875,0.125
2016-03-13,17,0.7647058823529411,0.8235294117647058,0.058823529411764705
2016-03-14,14,0.9285714285714286,0.9285714285714286,0.0
2016-03-15,21,0.7142857142857143,0.8095238095238095,0.09523809523809523
2016-03-16,12,0.9166666666666666,0.9166666666666666,0.0
2016-03-17,16,0.75,0.8125,0.0625
2016-03-18,20,0.9,0.95,0.05
2016-03-19,13,0.5384615384615384,0.6153846153846154,0.07692307692307693
2016-03-20,10,0.7,0.7,0.0
2016-03-21,17,0.6470588235294118,0.7058823529411765,0.058823529411764705
2016-03-22,7,0.8571428571428571,0.8571428571428571,0.0
2016-03-23,30,0.7666666666666667,0.8,0.03333333333333333
2016-03-24,17,0.5294117647058824,0.7058823529411765,0.17647058823529413
2016-03-25,9,1.0,1.0,0.0
2016-03-26,11,1.0,1.0,0.0
2016-03-27,20,0.5,0.7,0.2
2016-03-28,24,0.5416666666666666,0.75,0.20833333333333334
2016-03-29,15,0.8,0.8666666666666667,0.06666666666666667
2016-03-30,9,0.7777777777777778,0.7777777777777778,0.0
2016-03-31,18,0.4444444444444444,0.6666666666666666,0.2222222222222222
2016-04-01,15,0.6,0.7333333333333333,0.13333333333333333
2016-04-02,4,0.5,0.75,0.25
2016-04-03,6,0.5,0.6666666666666666,0.16666666666666666
2016-04-04,12,0.8333333333333334,0.9166666666666666,0.08333333333333333
2016-04-05,6,0.6666666666666666,0.8333333333333334,0.16666666666666666
2016-04-06,17,0.6470588235294118,0.8235294117647058,0.17647058823529413
2016-04-07,11,0.9090909090909091,0.9090909090909091,0.0
2016-04-08,11,0.6363636363636364,0.7272727272727273,0.09090909090909091
2016-04-09,19,0.5263157894736842,0.7368421052631579,0.21052631578947367
2016-04-10,13,0.6153846153846154,0.6923076923076923,0.07692307692307693
2016-04-11,10,1.0,1.0,0.0
2016-04-12,17,0.9411764705882353,0.9411764705882353,0.0
2016-04-13,18,0.7222222222222222,0.7777777777777778,0.05555555555555555
2016-04-14,18,1.0,1.0,0.0
2016-04-15,4,0.5,0.75,0.25
2016-04-16,17,0.7058823529411765,0.8235294117647058,0.11764705882352941
2016-04-17,9,0.5555555555555556,0.7777777777777778,0.2222222222222222
2016-04-18,19,0.5263157894736842,0.7368421052631579,0.21052631578947367
2016-04-19,11,0.6363636363636364,0.8181818181818182,0.18181818181818182
2016-04-20,16,1.0,1.0,0.0
2016-04-21,21,0.7142857142857143,0.8095238095238095,0.09523809523809523
2016-04-22,9,0.5555555555555556,0.7777777777777778,0.2222222222222222
2016-04-23,21,0.42857142857142855,0.7142857142857143,0.2857142857142857
2016-04-24,17,0.8235294117647058,0.8823529411764706,0.058823529411764705
2016-04-25,26,0.7307692307692307,0.8076923076923077,0.07692307692307693
2016-04-26,27,0.9259259259259259,0.9259259259259259,0.0
2016-04-27,18,0.8888888888888888,0.9444444444444444,0.05555555555555555
2016-04-28,24,0.7083333333333334,0.8333333333333334,0.125
2016-04-29,10,0.6,0.8,0.2
2016-04-30,14,0.5714285714285714,0.5714285714285714,0.0
2016-05-01,8,0.5,0.75,0.25
2016-05-02,21,0.6190476190476191,0.6666666666666666,0.047619047619047616
2016-05-03,14,0.5,0.6428571428571429,0.14285714285714285
2016-05-04,8,0.625,0.75,0.125
2016-05-05,14,0.7857142857142857,0.8571428571428571,0.07142857142857142
2016-05-06,24,0.7916666666666666,0.8333333333333334,0.041666666666666664
2016-05-07,27,1.0,1.0,0.0
2016-05-08,12,0.6666666666666666,0.8333333333333334,0.16666666666666666
2016-05-09,15,0.8,0.8666666666666667,0.06666666666666667
2016-05-10,30,0.6333333333333333,0.7666666666666667,0.13333333333333333
2016-05-11,13,0.7692307692307693,0.8461538461538461,0.07692307692307693
2016-05-12,14,0.8571428571428571,0.8571428571428571,0.0
2016-05-13,28,0.75,0.8571428571428571,0.10714285714285714
2016-05-14,15,0.8666666666666667,0.8666666666666667,0.0
2016-05-15,8,0.75,0.875,0.125
2016-05-16,23,0.6086956521739131,0.782608695652174,0.17391304347826086
2016-05-17,14,0.5,0.7142857142857143,0.21428571428571427
2016-05-18,14,0.7142857142857143,0.7142857142857143,0.0
2016-05-19,20,1.0,1.0,0.0
2016-05-20,26,0.9615384615384616,0.9615384615384616,0.0
2016-05-21,28,0.6428571428571429,0.8214285714285714,0.17857142857142858
2016-05-22,7,0.8571428571428571,0.8571428571428571,0.0
2016-05-23,21,0.6190476190476191,0.7619047619047619,0.14285714285714285
